length, selection, insertion, merge
10, 45, 13, 21
25, 300, 37, 69
40, 780, 67, 124
55, 1485, 83, 177
70, 2415, 121, 250
85, 3570, 133, 322
100, 4950, 157, 379
115, 6555, 173, 441
130, 8385, 199, 495
145, 10440, 213, 578
160, 12720, 261, 662
175, 15225, 267, 733
190, 17955, 305, 799
205, 20910, 319, 878
220, 24090, 365, 954
235, 27495, 365, 1017
250, 31125, 379, 1076
265, 34980, 409, 1147
280, 39060, 439, 1256
295, 43365, 469, 1349
310, 47895, 475, 1430
325, 52650, 495, 1521
340, 57630, 527, 1598
355, 62835, 573, 1680
370, 68265, 579, 1752
385, 73920, 601, 1805
400, 79800, 637, 1906
415, 85905, 649, 1991
430, 92235, 671, 2081
445, 98790, 689, 2145
460, 105570, 735, 2233
475, 112575, 715, 2288
490, 119805, 775, 2383
505, 127260, 771, 2431
520, 134940, 815, 2520
535, 142845, 841, 2635
550, 150975, 881, 2745
565, 159330, 883, 2835
580, 167910, 909, 2916
595, 176715, 905, 3012
610, 185745, 947, 3106
625, 195000, 1007, 3239
640, 204480, 1027, 3281
655, 214185, 1025, 3375
670, 224115, 1075, 3474
685, 234270, 1065, 3554
700, 244650, 1143, 3663
715, 255255, 1111, 3723
730, 266085, 1155, 3813
745, 277140, 1179, 3902
760, 288420, 1185, 3966
775, 299925, 1249, 4049
790, 311655, 1245, 4175
805, 323610, 1267, 4263
820, 335790, 1289, 4346
835, 348195, 1295, 4435
850, 360825, 1343, 4545
865, 373680, 1355, 4607
880, 386760, 1405, 4692
895, 400065, 1411, 4747
910, 413595, 1435, 4858
925, 427350, 1467, 4955
940, 441330, 1489, 5039
955, 455535, 1493, 5104
970, 469965, 1565, 5208
985, 484620, 1521, 5265
1000, 499500, 1573, 5344
1015, 514605, 1597, 5406
1030, 529935, 1607, 5476
1045, 545490, 1627, 5609
1060, 561270, 1645, 5717
1075, 577275, 1635, 5841
1090, 593505, 1701, 5931
1105, 609960, 1747, 6062
1120, 626640, 1747, 6141
1135, 643545, 1807, 6301
1150, 660675, 1829, 6368
1165, 678030, 1841, 6482
1180, 695610, 1849, 6558
1195, 713415, 1881, 6683
1210, 731445, 1913, 6799
1225, 749700, 1931, 6876
1240, 768180, 1979, 6985
