length, selection, insertion, merge
10, 45, 34, 23
25, 300, 154, 84
40, 780, 436, 165
55, 1485, 879, 250
70, 2415, 1424, 345
85, 3570, 1915, 429
100, 4950, 2721, 541
115, 6555, 3469, 647
130, 8385, 4232, 742
145, 10440, 5536, 868
160, 12720, 5762, 979
175, 15225, 8254, 1097
190, 17955, 9058, 1196
205, 20910, 11315, 1311
220, 24090, 12466, 1423
235, 27495, 13709, 1548
250, 31125, 16281, 1683
265, 34980, 17385, 1791
280, 39060, 18594, 1933
295, 43365, 21684, 2037
310, 47895, 23751, 2192
325, 52650, 27125, 2291
340, 57630, 27764, 2432
355, 62835, 30549, 2552
370, 68265, 33356, 2694
385, 73920, 35769, 2825
400, 79800, 39244, 2953
415, 85905, 45881, 3095
430, 92235, 47293, 3245
445, 98790, 48397, 3364
460, 105570, 53229, 3482
475, 112575, 55010, 3638
490, 119805, 60845, 3737
505, 127260, 63226, 3923
520, 134940, 68665, 4046
535, 142845, 73839, 4160
550, 150975, 73026, 4306
565, 159330, 76706, 4449
580, 167910, 87667, 4577
595, 176715, 88846, 4748
610, 185745, 92600, 4874
625, 195000, 93629, 5040
640, 204480, 105649, 5192
655, 214185, 103711, 5311
670, 224115, 112756, 5452
685, 234270, 114947, 5593
700, 244650, 120875, 5744
715, 255255, 128153, 5899
730, 266085, 133030, 6023
745, 277140, 140403, 6171
760, 288420, 144270, 6298
775, 299925, 150118, 6473
790, 311655, 156562, 6610
805, 323610, 168588, 6783
820, 335790, 174580, 6928
835, 348195, 178547, 7040
850, 360825, 186346, 7210
865, 373680, 197152, 7364
880, 386760, 196177, 7514
895, 400065, 194745, 7661
910, 413595, 202955, 7802
925, 427350, 220069, 7967
940, 441330, 215536, 8071
955, 455535, 230129, 8253
970, 469965, 239595, 8411
985, 484620, 243347, 8562
1000, 499500, 255457, 8729
1015, 514605, 256813, 8865
1030, 529935, 271517, 8997
1045, 545490, 271975, 9180
1060, 561270, 291263, 9340
1075, 577275, 282486, 9493
1090, 593505, 309453, 9615
1105, 609960, 301267, 9802
1120, 626640, 321888, 9983
1135, 643545, 326853, 10100
1150, 660675, 334617, 10271
1165, 678030, 331315, 10419
1180, 695610, 335719, 10565
1195, 713415, 341685, 10728
1210, 731445, 362336, 10894
1225, 749700, 374531, 11069
1240, 768180, 396976, 11221
